"","...1","...2","Province","Date","GID_1","Species","Slaughter","...8","totalRainfall","averageRainfall","stddevRainfall","wetDays","SDII","rollsum","rollsumPred","CowPop","Dep","dist2Cities","NDP_.livelihood","rollsumSTD","rollsumPredSTD","DepSTD","NDPSTD","DcitSTD","Month"
"1",1,1,"Eastern Cape","Apr 2015","ZAF.1_1","Cattle",16914,165,12561.0666151866,1.34616510718965,5.30856527806859,25,502.442664607465,153275.109176387,153428.899360781,3262332,78.1788864135742,120548.765625,0.142,0.446928102778198,0.405166759994831,0.521030864986586,1.3585678406264,0.227075071110187,"Apr"
"2",2,2,"Eastern Cape","Apr 2016","ZAF.1_1","Cattle",19747,90,10470.233505467,1.12209125554249,3.45660020598037,18,581.679639192609,155519.732470501,140987.341223896,3262332,78.1788864135742,120548.765625,0.142,0.472382772807282,0.267420779033423,0.521030864986586,1.3585678406264,0.227075071110187,"Apr"
"3",3,3,"Eastern Cape","Apr 2017","ZAF.1_1","Cattle",15500,74,9448.05088518746,1.01254430234567,2.44811844428093,14,674.86077751339,142009.523844175,178230.964370236,3262332,78.1788864135742,120548.765625,0.142,0.319173143597341,0.679761367600093,0.521030864986586,1.3585678406264,0.227075071110187,"Apr"
"4",4,4,"Eastern Cape","Apr 2018","ZAF.1_1","Cattle",13225,142,12758.336177215,1.36730641702015,3.24106543437333,23,554.710268574564,174920.679078208,164673.475708945,3262332,78.1788864135742,120548.765625,0.142,0.692395055245067,0.529660427309807,0.521030864986586,1.3585678406264,0.227075071110187,"Apr"
"5",5,5,"Eastern Cape","Apr 2019","ZAF.1_1","Cattle",16035,50,21675.6551117196,2.32297236220336,5.45122442394445,25,867.026204468783,155756.156774441,151576.49522962,3262332,78.1788864135742,120548.765625,0.142,0.475063892021998,0.384657976337962,0.521030864986586,1.3585678406264,0.227075071110187,"Apr"
"6",6,6,"Eastern Cape","Apr 2020","ZAF.1_1","Cattle",18485,34,16543.7467163913,1.77298753792641,4.90930420686209,24,689.322779849637,156708.403624949,134461.492232715,3262332,78.1788864135742,120548.765625,0.142,0.485862643611842,0.195170224801693,0.521030864986586,1.3585678406264,0.227075071110187,"Apr"
"7",7,7,"Eastern Cape","Apr 2021","ZAF.1_1","Cattle",18827,102,11147.3713203445,1.19465987786352,3.96143571906819,21,530.827205730691,139857.867628762,192134.152559119,3262332,78.1788864135742,120548.765625,0.142,0.294772746825649,0.833689699927785,0.521030864986586,1.3585678406264,0.227075071110187,"Apr"
"8",8,8,"Eastern Cape","Apr 2022","ZAF.1_1","Cattle",16305,8,20986.7027405463,2.24913757802447,6.01947185107818,22,953.941033661196,182294.821138918,207020.543398971,3262332,78.1788864135742,120548.765625,0.142,0.776019934927628,0.998503502720795,0.521030864986586,1.3585678406264,0.227075071110187,"Apr"
"9",9,9,"Eastern Cape","Apr 2023","ZAF.1_1","Cattle",15720,36,9131.15451233461,0.978582629121703,3.00340330535135,22,415.052477833392,218876.091627182,168760.458236402,3262332,78.1788864135742,120548.765625,0.142,1.19086200306671,0.574909214577673,0.521030864986586,1.3585678406264,0.227075071110187,"Apr"
"10",10,10,"Eastern Cape","Aug 2015","ZAF.1_1","Cattle",19243,138,8628.1471237801,0.89577939408016,2.99422263575735,16,539.259195236256,164335.136907065,148844.204881469,3262332,78.1788864135742,120548.765625,0.142,0.572351979976285,0.354407584052958,0.521030864986586,1.3585678406264,0.227075071110187,"Aug"
"11",11,11,"Eastern Cape","Aug 2016","ZAF.1_1","Cattle",21601,2,5556.82721613161,0.576913124598382,2.34136010459099,20,277.841360806581,151915.524789117,132544.346443599,3262332,78.1788864135742,120548.765625,0.142,0.431510027038985,0.173944657677193,0.521030864986586,1.3585678406264,0.227075071110187,"Aug"
"12",12,12,"Eastern Cape","Aug 2017","ZAF.1_1","Cattle",21453,110,5650.00894623622,0.586587307541136,2.21247499951421,28,201.786033794151,132451.164713495,182849.34094692,3262332,78.1788864135742,120548.765625,0.142,0.21077861774129,0.730893452906877,0.521030864986586,1.3585678406264,0.227075071110187,"Aug"
"13",13,13,"Eastern Cape","Aug 2018","ZAF.1_1","Cattle",21843,98,9388.83838981758,0.974754816218603,3.18135430795736,14,670.631313558399,179110.511503339,157237.404315787,3262332,78.1788864135742,120548.765625,0.142,0.739908953073059,0.447332399157695,0.521030864986586,1.3585678406264,0.227075071110187,"Aug"
"14",14,14,"Eastern Cape","Aug 2019","ZAF.1_1","Cattle",24407,86,1384.99014931172,0.143790505534855,0.682422596466673,21,65.9519118719867,165241.252556293,146112.94461478,3262332,78.1788864135742,120548.765625,0.142,0.582627590551907,0.324168596254426,0.521030864986586,1.3585678406264,0.227075071110187,"Aug"
"15",15,15,"Eastern Cape","Aug 2020","ZAF.1_1","Cattle",21604,70,2609.42575950176,0.270912142805415,1.0233586924683,17,153.495632911868,144888.50900459,143937.053629568,3262332,78.1788864135742,120548.765625,0.142,0.351821658592779,0.300078346872033,0.521030864986586,1.3585678406264,0.227075071110187,"Aug"
"16",16,16,"Eastern Cape","Aug 2021","ZAF.1_1","Cattle",22629,58,4860.38133192807,0.504607696421104,2.39143703297107,23,211.320927475134,141686.098057141,199384.801122201,3262332,78.1788864135742,120548.765625,0.142,0.315505402685342,0.913964830095542,0.521030864986586,1.3585678406264,0.227075071110187,"Aug"
"17",17,17,"Eastern Cape","Aug 2022","ZAF.1_1","Cattle",19712,4,6763.63107293099,0.702204222688018,2.98885769607092,21,322.077670139571,197481.551381198,214763.765564278,3262332,78.1788864135742,120548.765625,0.142,0.948241798681619,1.0842321326261,0.521030864986586,1.3585678406264,0.227075071110187,"Aug"
"18",18,18,"Eastern Cape","Dec 2014","ZAF.1_1","Cattle",18941,166,23526.2979332879,2.44251432031644,5.58802566109073,23,1022.88251883861,158283.988957369,146708.532298731,3262332,78.1788864135742,120548.765625,0.142,0.503730231836816,0.330762610353926,0.521030864986586,1.3585678406264,0.227075071110187,"Dec"
"19",19,19,"Eastern Cape","Dec 2015","ZAF.1_1","Cattle",25152,94,8689.86644752137,0.902187131179545,2.77196997537257,27,321.846905463755,161544.963784497,145062.573577011,3262332,78.1788864135742,120548.765625,0.142,0.540710618886775,0.312539474935449,0.521030864986586,1.3585678406264,0.227075071110187,"Dec"
"20",20,20,"Eastern Cape","Dec 2016","ZAF.1_1","Cattle",24073,38,12613.2215337306,1.3095122024222,3.53373692329958,26,485.123905143486,141139.218490802,150865.059382385,3262332,78.1788864135742,120548.765625,0.142,0.309303632017047,0.376781356095521,0.521030864986586,1.3585678406264,0.227075071110187,"Dec"
"21",21,21,"Eastern Cape","Dec 2017","ZAF.1_1","Cattle",20106,146,15754.2287802212,1.63561345309605,4.68584525251015,26,605.931876162354,147724.052135894,168741.102128776,3262332,78.1788864135742,120548.765625,0.142,0.383977528555389,0.574694914567722,0.521030864986586,1.3585678406264,0.227075071110187,"Dec"
"22",22,22,"Eastern Cape","Dec 2018","ZAF.1_1","Cattle",17100,54,14718.6217141726,1.52809610819898,3.65964685152057,26,566.100835160484,169776.709194824,147108.372339644,3262332,78.1788864135742,120548.765625,0.142,0.634060965794764,0.335189415908122,0.521030864986586,1.3585678406264,0.227075071110187,"Dec"
"23",23,23,"Eastern Cape","Dec 2019","ZAF.1_1","Cattle",19200,41,15781.7465273142,1.63847036205504,4.98139268090969,30,526.05821757714,146045.247526502,167373.346129963,3262332,78.1788864135742,120548.765625,0.142,0.364939404212906,0.559551884273647,0.521030864986586,1.3585678406264,0.227075071110187,"Dec"
"24",24,24,"Eastern Cape","Dec 2020","ZAF.1_1","Cattle",21684,106,18590.430872051,1.93006965033753,4.98647356766103,26,715.016572001963,164564.661785226,166786.767674527,3262332,78.1788864135742,120548.765625,0.142,0.574954857729703,0.553057615319076,0.521030864986586,1.3585678406264,0.227075071110187,"Dec"
"25",25,25,"Eastern Cape","Dec 2021","ZAF.1_1","Cattle",19009,14,34784.071195107,3.6113030725817,5.89056853364493,32,1087.00222484709,150593.127351471,211829.336103199,3262332,78.1788864135742,120548.765625,0.142,0.416513661942511,1.05174376901189,0.521030864986586,1.3585678406264,0.227075071110187,"Dec"
"26",26,26,"Eastern Cape","Dec 2022","ZAF.1_1","Cattle",19250,40,32055.1868413389,3.32798866708252,6.69155392087304,30,1068.50622804463,214558.220456967,187566.298567569,3262332,78.1788864135742,120548.765625,0.142,1.14189610925542,0.783116972458132,0.521030864986586,1.3585678406264,0.227075071110187,"Dec"
"27",27,27,"Eastern Cape","Feb 2015","ZAF.1_1","Cattle",14488,164,16005.6197028905,1.83361435478182,5.04294976612501,21,762.17236680431,156754.128403851,156782.685514714,3262332,78.1788864135742,120548.765625,0.142,0.486381175680076,0.442298006630146,0.521030864986586,1.3585678406264,0.227075071110187,"Feb"
"28",28,28,"Eastern Cape","Feb 2016","ZAF.1_1","Cattle",16745,112,20318.4354563206,2.25010359427693,5.26445325537038,19,1069.39133980635,152469.869761284,149932.740820438,3262332,78.1788864135742,120548.765625,0.142,0.437796457544182,0.366459245836422,0.521030864986586,1.3585678406264,0.227075071110187,"Feb"
"29",29,29,"Eastern Cape","Feb 2017","ZAF.1_1","Cattle",16326,56,27293.5277267732,3.12676454654292,6.82141227154264,24,1137.23032194888,142957.648549985,161337.649017906,3262332,78.1788864135742,120548.765625,0.142,0.329925148887538,0.492728017814234,0.521030864986586,1.3585678406264,0.227075071110187,"Feb"
"30",30,30,"Eastern Cape","Feb 2018","ZAF.1_1","Cattle",11849,124,31967.1896261983,3.66218233774754,6.06789297069714,24,1331.96623442493,156663.987118481,157476.201399809,3262332,78.1788864135742,120548.765625,0.142,0.485358947727123,0.449976227063126,0.521030864986586,1.3585678406264,0.227075071110187,"Feb"
"31",31,31,"Eastern Cape","Feb 2019","ZAF.1_1","Cattle",15645,72,26926.473994799,3.08471462880043,6.53216210620123,22,1223.93063612723,162516.917031208,154566.214276106,3262332,78.1788864135742,120548.765625,0.142,0.551732846644814,0.417758475353138,0.521030864986586,1.3585678406264,0.227075071110187,"Feb"
"32",32,32,"Eastern Cape","Feb 2020","ZAF.1_1","Cattle",15076,16,29831.0553004295,3.30354986715719,6.72464765814511,24,1242.96063751789,151661.632970475,151433.427745831,3262332,78.1788864135742,120548.765625,0.142,0.428630821212528,0.383074013085017,0.521030864986586,1.3585678406264,0.227075071110187,"Feb"
"33",33,33,"Eastern Cape","Feb 2021","ZAF.1_1","Cattle",18365,84,12431.4757302105,1.42415806280336,4.03959293354274,25,497.259029208422,168833.00731605,170294.185802489,3262332,78.1788864135742,120548.765625,0.142,0.623359116627908,0.591889789341205,0.521030864986586,1.3585678406264,0.227075071110187,"Feb"
"34",34,34,"Eastern Cape","Feb 2022","ZAF.1_1","Cattle",15965,71,21209.2910906076,2.42975038270222,5.97146751218653,26,815.741965023371,161516.370442092,222663.700373681,3262332,78.1788864135742,120548.765625,0.142,0.540386362207333,1.17169579737612,0.521030864986586,1.3585678406264,0.227075071110187,"Feb"
"35",35,35,"Eastern Cape","Feb 2023","ZAF.1_1","Cattle",15572,18,26719.1767851338,3.0609665236721,7.72851183104525,25,1068.76707140535,217153.814679155,165134.214043694,3262332,78.1788864135742,120548.765625,0.142,1.17133088997272,0.534761464751281,0.521030864986586,1.3585678406264,0.227075071110187,"Feb"
"36",36,36,"Eastern Cape","Jan 2015","ZAF.1_1","Cattle",13952,162,17264.7115748078,1.79243268010878,4.14240021456601,27,639.433762029917,152479.634646186,152469.869761284,3262332,78.1788864135742,120548.765625,0.142,0.437907194131343,0.394548920050644,0.521030864986586,1.3585678406264,0.227075071110187,"Jan"
"37",37,37,"Eastern Cape","Jan 2016","ZAF.1_1","Cattle",14798,103,23026.0490373615,2.39057818078919,5.29774515265379,28,822.358894191483,146708.532298731,142957.648549985,3262332,78.1788864135742,120548.765625,0.142,0.372461243203296,0.289234920995511,0.521030864986586,1.3585678406264,0.227075071110187,"Jan"
"38",38,38,"Eastern Cape","Jan 2017","ZAF.1_1","Cattle",15332,47,20921.1240103357,2.17204360572422,5.69144200430154,23,909.614087405898,145062.573577011,156663.987118481,3262332,78.1788864135742,120548.765625,0.142,0.353795600619643,0.440983844300334,0.521030864986586,1.3585678406264,0.227075071110187,"Jan"
"39",39,39,"Eastern Cape","Jan 2018","ZAF.1_1","Cattle",12644,155,26720.0517464317,2.77409175108303,4.87494194156502,27,989.631546164138,150865.059382385,162516.917031208,3262332,78.1788864135742,120548.765625,0.142,0.419597448934923,0.505784214435389,0.521030864986586,1.3585678406264,0.227075071110187,"Jan"
